IDENTIFY INFANTRY
GAMEOBJE FALSE
HTRADIUS 50m
STRENGTH 10
INITIGUN 999999999
INITISAM 999999999
INITCANO 999999999
MAXSPEED 80km/h
MAXROTAT 360deg
MINAIMPI 0deg
MAXAIMPI 90deg
HUGROUND TRUE
ANTIGRND TRUE
MINIDAMG 0
AIMROTAT 360deg
AIMPITCH 360deg

GUNRANGE 1000m
AAAMINPI 0deg
AAAMAXPI 90deg
AAAMOUNT 23m 0m -10m

SAMRANGE 3000m
SAMMINPI 0deg
SAMMAXPI 90deg
SAMMOUNT -8.5m 0m -5.1m

CANRANGE 3000m
CANMINPI 0.6deg
CANMAXPI 50deg
CANMOUNT -12.0m 0.0m -1m

USEAIMAT 0m 2m 0m
