REM Cessna Model-152 Trainer

IDENTIFY "WW01 Mantis"
CATEGORY TRAINER               #[NORMAL]

AFTBURNR FALSE                 #HAVE AFTERBURNER?
PROPELLR 220HP                 #PROPELLER ENGINE [108HP]
WEIGHCLN 0.52t                 #WEIGHT CLEAN
WEIGFUEL 0.10t                 #WEIGHT OF FUEL
WEIGLOAD 0.40t                 #WEIGHT OF PAYLOAD
FUELMILI 0.01kg                #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0m     2.20m  2.83m  #COCKPIT POSITION
LEFTGEAR -1.34m -1.15m -0.20m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.34m -1.15m -0.20m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -1.20m  1.37m  #WHEEL POSITION
ARRESTER  0.00m -0.75m -3.40m  #ARRESTING HOOK POSITION
MACHNGUN -0.27m -0.34m  1.99m  #MACHINE GUN POSITION
MACHNGN2  0.27m -0.34m  1.99m  #MACHINE GUN POSITION
SMOKEGEN -4.70m  0.70m -0.37m  #SMOKE GENERATOR POSITION
VAPORPO0  5.15m  0.72m  0.16m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  5.15m  0.72m  0.16m  #VAPOR POSITION (Wings Spread)
HTRADIUS  6.50m                #OUTSIDE SPHERE RADIUS

STRENGTH 4

CRITAOAP  20deg                #CRITICAL AOA POSITIVE
CRITAOAM -15deg                #CRITICAL AOA NEGATIVE

CRITSPED  90kt                 #CRITICAL SPEED
MAXSPEED 155kt                 #MAXIMUM SPEED  [106kt/109kt]

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR FALSE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                 #HAS VARIABLE GEOMETRY WING?

REM VGWSPED1 0kt
REM VGWSPED2 90kt

CLVARGEO 0.0                   #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                   #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                   #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.1                   #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                   #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                   #EFFECT OF SPOILER FOR Cd

WINGAREA 15.50m^2              #WING AREA

MXIPTAOA  16.0deg              #MAX INPUT AOA
MXIPTSSA   5.0deg              #MAX INPUT SSA
MXIPTROL 110.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 48kt                  #MINIMUM MANEUVABLE SPEED
MANESPD2 50kt                  #FULLY MANEUVABLE SPEED
CPITMANE 6.5                   #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.5                   #PITCH STABILITY CONSTANT
CYAWMANE 5.0                   #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.5                   #YAW STABILITY CONSTANT
CROLLMAN 2.0                   #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                  #CONTROL LANDINGGEAR
CTLBRAKE FALSE                 #CONTROL BRAKE
CTLSPOIL 0.0                   #CONTROL SPOILER
CTLABRNR FALSE                 #CONTROL AFTERBURNER
CTLTHROT 0.0                   #CONTROL THRUST
CTLIFLAP 0.0                   #CONTROL FLAP
CTLINVGW 0.0                   #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m             #POSITION
ATTITUDE 45deg 0deg 0deg       #ATTITUDE
INITFUEL 100%                  #INITIAL FUEL
INITLOAD 0.0t                  #INITIAL PAYLOAD
INITSPED 0.0MACH               #INITIAL SPEED

INITIGUN 0                     #INITIAL GUN
INITIAAM 0                     #INITIAL AAM
INITIAGM 0                     #INITIAL AGM
INITBOMB 0                     #INITIAL BOMB
INITRCKT 0                     #INITIAL ROCKET (10kg/each)

SMOKEOIL 25.0kg
WEAPONCH SMK

MAXNMAAM 0
MAXNMAGM 0
MAXNBOMB 0
MAXNMRKT 0

AAMSLOT_  0.00m -0.85m 0.00m
AGMSLOT_  0.00m -0.85m 0.00m
BOMBSLOT  0.00m -0.85m 0.00m
RKTSLOT_  3.90m  0.45m 0.00m
RKTSLOT_ -3.90m  0.45m 0.00m



RADARCRS 0.001

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 132kt                 #CRUISING SPEED
REFACRUS 2500ft                #CRUISING ALTITUDE
REFTCRUS 0.7                   #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 40kt                  #LANDING SPEED
REFAOALD 10.0deg               #LANDING AOA                             [TailStrikeAngle:15.31deg]
REFLNRWY 80m                  #RUNWAY REQUIRED TO STOP         [145m]
REFTHRLD 0.3                   #LANDING THROTTLE SETTING

AUTOCALC
