REM Original by YS Major
IDENTIFY "Submarine_major"
CATEGORY NORMAL
AFTBURNR FALSE 
THRMILIT  20.0t                #THRUST AT MILITARY POWER
WEIGHCLN 1000.0t                #WEIGHT CLEAN
WEIGFUEL 1.0t                #WEIGHT OF FUEL
WEIGLOAD 1200.0t               #WEIGHT OF PAYLOAD
FUELMILI 0.10kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  2.625m  0m  #COCKPIT POSITION
LEFTGEAR  5.0m 0.0m -65.00m  #LEFT LANDING GEAR POSITION
RIGHGEAR  5.0m 0.10m -65.00m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m 0.0m 20.00m  #WHEEL POSITION
ARRESTER  0.0m 0.0m 20.00m
MACHNGUN  0.00m 0.0m 0.0m  #MACHINE GUN POSITION
SMOKEGEN  0.0m 0.0m  0.0m  #SMOKE GENERATOR POSITION
VAPORPO0  0.3m  0.0m 0.0m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  0.3m  0.0m 0.0m  #VAPOR POSITION (Wings Spread)
HTRADIUS  10.0m               #OUTSIDE SPHERE RADIUS

SMOKEOIL 0.0kg

TRIGGER1 AAM
TRIGGER2 RKT
TRIGGER3 NON
TRIGGER4 NON

STRENGTH 10

CRITAOAP 0.0deg
CRITAOAM -0.0deg

CRITSPED 35kt
MAXSPEED 55kt

HASSPOIL TRUE
RETRGEAR FALSE
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0
CDVARGEO 0.1
CLBYFLAP 0.0
CDBYFLAP 0.0
CDBYGEAR 0.0
CDSPOILR 5.0

WINGAREA 2.0m^2

MXIPTAOA 0.0deg
MXIPTSSA 5.0deg
MXIPTROL 0.0deg

MANESPD1 1kt
MANESPD2 2kt
CPITMANE 0.0
CPITSTAB 99999.0
CYAWMANE 11.0
CYAWSTAB 11.0
CROLLMAN 0.0

CTLLDGEA TRUE
CTLBRAKE FALSE
CTLSPOIL 1.0
CTLABRNR FALSE
CTLTHROT 0.0
CTLIFLAP 0.0
CTLINVGW 1.0
CTLATVGW TRUE

POSITION 0m 3ft 0m
ATTITUDE 45deg 0deg 0deg
INITFUEL 100%
INITLOAD 0.0t
INITSPED 0.0MACH

GUNPOWER 1

BOMVISIB FALSE
RKTVISIB FALSE  
AAMVISIB FALSE
AGMVISIB FALSE

INITIGUN 0                 #INITIAL GUN
LOADWEPN AIM120 15
LOADWEPN AIM9 15
LOADWEPN RKT 12
LOADWEPN B500 20
LOADWEPN AGM65 12

HRDPOINT 0m 0.5m 1000m B500
HRDPOINT 0m 0.5m -20m AIM9 AIM120 AGM65
HRDPOINT 0.2m 0.5m 10m AIM9 AIM120 AGM65 RKT
HRDPOINT -0.2m 0.5m 10m AIM9 AIM120 AGM65 RKT

LMTBYHDP FALSE 			#Limit Max Num Weapon by Hardpoint

RADARCRS 0.01                  #RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 28kt                 #CRUISING SPEED
REFACRUS 1000ft
REFTCRUS 0.6

REFVLAND 10kt
REFAOALD 5deg
REFLNRWY 70m
REFTHRLD 0.4

AUTOCALC
