IDENTIFY	"F-36A_Tsunami"									
CATEGORY	FIGHTER									
AFTBURNR	TRUE	#HAVE	AFTERBURNER?							
THRAFTBN	12.0t	#THRUST	WITH	AFTERBURNER						
THRMILIT	7.4t	#THRUST	AT	MILITARY	POWER					
WEIGHCLN	5.0t	#WEIGHT	CLEAN							
WEIGFUEL	2.5t	#WEIGHT	OF	FUEL						
WEIGLOAD	5.0t	#WEIGHT	OF	PAYLOAD						
FUELABRN	3.2kg	#FUEL	CONSUMPTION	WHEN	USING	AFTERBURNER				
FUELMILI	0.25kg	#FUEL	CONSUMPTION	AT	MILITARY	POWER				
										
COCKPITP  0.0m  0.9m   4.1m  #COCKPIT POSITION
LEFTGEAR -1.89m -1.30m -1.34m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.89m -1.30m -1.34m   #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.32m  3.89m  #WHEEL POSITION
ARRESTER  0.0m -1.20m -5.30m
MACHNGUN  -0.7m  0.32m  2.97m  #MACHINE GUN POSITION
SMOKEGEN -1.6m -0.5m -6.50m  #SMOKE GENERATOR POSITION
VAPORPO0  4.52m  0.11m -1.84m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  4.52m  0.11m -1.84m  #VAPOR POSITION (Wings Spread)
HTRADIUS  9.5m                #OUTSIDE SPHERE RADIUS					
										
										
STRENGTH	10									
										
CRITAOAP	32deg	#CRITICAL	AOA	POSITIVE						
CRITAOAM	-22deg	#CRITICAL	AOA	NEGATIVE						
										
CRITSPED	1.023MACH	#CRITICAL	SPEED							
MAXSPEED	2.274MACH	#MAXIMUM	SPEED							
										
HASSPOIL	TRUE	#HAS	SPOILER?							
RETRGEAR	TRUE	#HAS	RETRACTABLE	LANDING	GEAR?					
VARGEOMW	FALSE	#HAS	VARIABLE	GEOMETRY	WING?					
										
CLVARGEO	0	#EFFECT	OF	VARIABLE	GEOMETRY	WING	FOR	Cl		
