IDENTIFY "Proteus"
CATEGORY UTILITY
AFTBURNR FALSE
THRAFTBN 0.00t
THRMILIT 4.08t
WEIGHCLN 2.67t
WEIGFUEL 3.00t
WEIGLOAD 1.50t
FUELABRN 0.00kg
FUELMILI 0.03kg

COCKPITP -0.40m  0.10m  8.90m
LEFTGEAR -5.00m -2.07m  0.68m
RIGHGEAR  5.00m -2.07m  0.68m
WHELGEAR  0.00m -2.07m 11.38m
ARRESTER  0.00m -2.07m -1.00m
MACHNGUN  0.00m  0.00m  0.00m
SMOKEGEN  0.00m  0.00m -1.98m
VAPORPO0 14.00m  0.00m -1.20m  #Swept back
VAPORPO1 14.00m  0.00m -1.20m  #Spread
HTRADIUS 10.0m

STRENGTH 5

CRITAOAP  24deg
CRITAOAM -16deg

CRITSPED 270kt
MAXSPEED 300kt

HASSPOIL TRUE
RETRGEAR TRUE
VARGEOMW FALSE

CLVARGEO 0.0
CDVARGEO 0.0
CLBYFLAP 0.2
CDBYFLAP 0.2
CDBYGEAR 0.5
CDSPOILR 1.0

WINGAREA 27.92m^2

MXIPTAOA 24.0deg
MXIPTSSA 6.0deg
MXIPTROL 48.0deg

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 25kt
MANESPD2 50kt
CPITMANE 3.0
CPITSTAB 12.0
CYAWMANE 5.0
CYAWSTAB 5.0
CROLLMAN 1.5

CTLLDGEA TRUE
CTLBRAKE FALSE
CTLSPOIL 0.0
CTLABRNR FALSE
CTLTHROT 0.0
CTLIFLAP 0.0
CTLINVGW 1.0
CTLATVGW TRUE

POSITION 0m 3ft 0m
ATTITUDE 45deg 0deg 0deg
INITFUEL 100%
INITLOAD 0.0t
INITSPED 0.0MACH

INITIGUN 0
INITIAAM 0
INITIAGM 0

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 285kt
REFACRUS 50000ft
REFTCRUS 0.8

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 50kt
REFAOALD 10deg
REFLNRWY 300m
REFTHRLD 0.4

AUTOCALC
