IDENTIFY "[OWL]_AIRBUS_300"
CATEGORY NORMAL
AFTBURNR FALSE
THRMILIT  50t                #THRUST AT MILITARY POWER
THRSTREV  0.2
WEIGHCLN  90.06t                #WEIGHT CLEAN
WEIGFUEL  54.52t                #WEIGHT OF FUEL
WEIGLOAD  15.0t                #WEIGHT OF PAYLOAD

FUELMILI 1.9kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  -0.54m  1.20m  21.60m  #COCKPIT POSITION
LEFTGEAR -5.2m -4.40m -1.90m  #LEFT LANDING GEAR POSITION
RIGHGEAR  5.20m -4.40m -1.90m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -4.40m  17.30.1m  #WHEEL POSITION
ARRESTER  0.0m -2.70m -11.78m

SMOKEGEN -8.70m -2.30m -0.15m  #SMOKE GENERATOR POSITION
VAPORPO0  22.42m  1.40m -7.92m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  22.42m  0.99m -6.42m  #VAPOR POSITION (Wings Spread)
HTRADIUS  30.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 SMK

STRENGTH 25

CRITAOAP  16deg               #CRITICAL AOA POSITIVE
CRITAOAM -10deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.81MACH              #CRITICAL SPEED
MAXSPEED 0.89MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 1.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.3                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 260m^2                #WING AREA

MXIPTAOA 20.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 35.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 150kt                 #FULLY MANEUVABLE SPEED
CPITMANE 2.0                 #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 1.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 50%                  #INITIAL FUEL
INITLOAD 13.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED


INITIGUN 0                

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.78MACH              #CRUISING SPEED
REFACRUS 27000ft              #CRUISING ALTITUDE
REFTCRUS 0.9                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 140kt                 #LANDING SPEED
REFAOALD 6deg                 #LANDING AOA
REFLNRWY 1400m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                 #LANDING THROTTLE SETTING

AUTOCALC
