IDENTIFY "[OWL]_BOEING_767-400ER"
CATEGORY NORMAL
AFTBURNR FALSE
THRMILIT  56.4t                #THRUST AT MILITARY POWER
THRSTREV  0.2
WEIGHCLN  103.87t                #WEIGHT CLEAN
WEIGFUEL  73.363t                #WEIGHT OF FUEL
WEIGLOAD  35.6t                #WEIGHT OF PAYLOAD

FUELMILI 1.8kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  -0.57m  1.04m   25.33m  #COCKPIT POSITION
LEFTGEAR -5.18m -4.41m -3.85m  #LEFT LANDING GEAR POSITION
RIGHGEAR  5.18m -4.41m -3.85m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -4.4m  23.14m  #WHEEL POSITION
ARRESTER  0.0m -2.60m -16.96m

SMOKEGEN 7.9m -2.1m -5.0m  #SMOKE GENERATOR POSITION
VAPORPO0  25.95m  1.28m -13.61m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  4.45m  -0.25m -3.89m  #VAPOR POSITION (Wings Spread)
HTRADIUS  32.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 SMK

STRENGTH 7

CRITAOAP  16deg               #CRITICAL AOA POSITIVE
CRITAOAM -10deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.88MACH              #CRITICAL SPEED
MAXSPEED 0.94MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 301m^2                #WING AREA

MXIPTAOA 20.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 35.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 150kt                 #FULLY MANEUVABLE SPEED
CPITMANE 2.0                 #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 1.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 30%                  #INITIAL FUEL
INITLOAD 24.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

SMOKEOIL 1KG
WEAPONCH SMK

INITIGUN 0                

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.80MACH              #CRUISING SPEED
REFACRUS 27000ft              #CRUISING ALTITUDE
REFTCRUS 0.9                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 140kt                 #LANDING SPEED
REFAOALD 6deg                 #LANDING AOA
REFLNRWY 1290m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                 #LANDING THROTTLE SETTING

AUTOCALC
