IDENTIFY [GOP]IVAN-ROGOV_CLASS
HTRADIUS 160m
STRENGTH 400
INITIGUN 9999999999
INITISAM 500
MAXSPEED 0kt
MAXROTAT 90deg
MINAIMPI 5deg
MAXAIMPI 80deg
AIMROTAT 30deg
AIMPITCH  30deg
ANTIGRND TRUE
HUGROUND TRUE
CARRIER User/gop/CV/ivanrogov.acp
SAMRANGE 3000m
GUNRANGE 1000m
MINIDAMG 11
SPLYFUEL TRUE
SPLYAMMO TRUE

AIMROTAT 30deg
AIMPITCH 30deg

GUNRANGE 800m
AAAMINPI -30deg
AAAMAXPI 80deg
AAAMOUNT 0m 25.6m -10m

SAMRANGE 1700m
SAMMINPI 3deg
SAMMAXPI 80deg
SAMMOUNT 0m 28m -28m

NMTURRET 1
TURRETPO 0 0m 14.45m 66.5m 0deg 0deg 0deg   # Number x y z h p b
TURRETPT 0 -10deg 60deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 0 -180deg 180deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 0 999999999999                              # Ammo
TURRETIV 0 0.5sec                              # Number ShootingInterval
TURRETNH 0 CAN1
TURRETNP 0 CAN2
TURRETAR 0
TURRETCT 0 GUNNER                            # Controlled by PILOT or GUNNER
TURRETRG 0 1000m
TURRETPW 0 100

USEAIMAT 0m 3m 0m
